Date,Close
11/15/2023,188.009995
11/16/2023,189.710007
11/17/2023,189.690002
11/20/2023,191.449997
11/21/2023,190.639999
11/22/2023,191.309998
11/24/2023,189.970001
11/27/2023,189.789993
11/28/2023,190.399994
11/29/2023,189.369995
11/30/2023,189.949997
12/1/2023,191.240005
12/4/2023,189.429993
12/5/2023,193.419998
12/6/2023,192.320007
12/7/2023,194.270004
12/8/2023,195.710007
12/11/2023,193.179993
12/12/2023,194.710007
12/13/2023,197.960007
12/14/2023,198.110001
12/15/2023,197.570007
12/18/2023,195.889999
12/19/2023,196.940002
12/20/2023,194.830002
12/21/2023,194.679993
12/22/2023,193.600006
12/26/2023,193.050003
12/27/2023,193.149994
12/28/2023,193.580002
12/29/2023,192.529999
1/2/2024,185.639999
1/3/2024,184.25
1/4/2024,181.910004
1/5/2024,181.179993
1/8/2024,185.559998
1/9/2024,185.139999
1/10/2024,186.190002
1/11/2024,185.589996
1/12/2024,185.919998
1/16/2024,183.630005
1/17/2024,182.679993
1/18/2024,188.630005
1/19/2024,191.559998
1/22/2024,193.889999
1/23/2024,195.179993
1/24/2024,194.5
1/25/2024,194.169998
1/26/2024,192.419998
1/29/2024,191.729996
1/30/2024,188.039993
1/31/2024,184.399994
2/1/2024,186.860001
2/2/2024,185.850006
2/5/2024,187.679993
2/6/2024,189.300003
2/7/2024,189.410004
2/8/2024,188.320007
2/9/2024,188.850006
2/12/2024,187.149994
2/13/2024,185.039993
2/14/2024,184.149994
2/15/2024,183.860001
2/16/2024,182.309998
2/20/2024,181.559998
2/21/2024,182.320007
2/22/2024,184.369995
2/23/2024,182.520004
